,Title,Album,Artist,Duration (ms),Rating,Play Count,Removed
0,America,All-Time Greatest Hits,Neil Diamond,258000,0,3,Yes
0,America,Razorlight,Razorlight,250146,0,3,
0,Amici miei,Mama,Luciano Pavarotti,188000,0,4,
0,Amicus meus,Motets à deux voix,Charpentier,202000,0,2,
0,Amos Moses,The Essential Jerry Reed,Jerry Reed,139000,0,3,
0,Amos Moses,Super Hits,Jerry Reed,138000,0,1,
0,Amsterdam,Dave Pearce Trance Anthems 2009,Paul Oakenfold,272000,0,3,
0,An Act Of Kindness,Wild World (Complete Edition),Bastille,208000,0,1,
0,An Important Relationship Lesson,Despicable,Jim Norton,82000,0,1,
0,An Innocent Warrior,Moana (Original Motion Picture Soundtrack/Deluxe Edition),Vai Mahina,97000,0,10,
0,"An Orkney Wedding, With Sunrise, J. 205",A Celebration of Scotland,"Scottish Chamber Orchestra, George McIlwham",732000,0,2,
0,Anchor Baby,The League (Music from the Original TV Series),Jon LaJoie,122000,0,1,
0,And The Grass Won&#39;t Pay No Mind (Live/Greek Theatre/Los Angeles/1972),Hot August Night (40th Anniversary Deluxe Edition),Neil Diamond,262000,0,1,Yes
0,And Your Bird Can Sing (Remastered 2009),Revolver (Remastered),The Beatles,120000,0,2,
0,Angel of Harlem,Best of 1980-1990,U2,229274,0,2,
0,Angeline [The Innocents Mix],Irreverence,Faithless,107153,0,1,
0,Angels (Acoustic),This Is Acoustic,Robbie Williams,266000,0,1,
0,Angry Eyes (Single Version),The Essential Kenny Loggins,Loggins &amp; Messina,146000,0,1,
0,Animal Rights,4x4=12,deadmau5,375000,0,18,
0,Animus Vox,Drink The Sea,The Glitch Mob,404000,0,1,
0,Ankhesenamun (Original Version),Cream Anthems 2000,DJ Alici,373469,0,1,
0,Anna Nicole Smith/How To Die (Spoken Word),I&#39;m Gonna Be Dead Someday,Joe Rogan,453000,0,4,
0,Anonymous: Coventry Carol,Carols from King&#39;s College Cambridge (Classic FM: The Full Works),"The Choir of King&#39;s College, Cambridge",134000,0,3,
0,Anonymous: Ding Dong! Merrily On High,Carols from King&#39;s College Cambridge (Classic FM: The Full Works),"The Choir of King&#39;s College, Cambridge",120000,0,3,
0,Anonymous: Gabriel&#39;s Message,Carols from King&#39;s College Cambridge (Classic FM: The Full Works),"The Choir of King&#39;s College, Cambridge",171000,0,3,
0,"Anonymous: God Rest Ye Merry, Gentlemen",Carols from King&#39;s College Cambridge (Classic FM: The Full Works),"The Choir of King&#39;s College, Cambridge",206000,0,8,
0,Anonymous: Past Three O&#39; Clock,Carols from King&#39;s College Cambridge (Classic FM: The Full Works),"The Choir of King&#39;s College, Cambridge",152000,0,3,
0,Anonymous: Personent Hodie,Carols from King&#39;s College Cambridge (Classic FM: The Full Works),"The Choir of King&#39;s College, Cambridge",160000,0,3,
0,Anonymous: Rocking Carol: Little Jesu Sweetly Sleep,Carols from King&#39;s College Cambridge (Classic FM: The Full Works),"The Choir of King&#39;s College, Cambridge",104000,0,3,
0,Anonymous: The First Nowell,Carols from King&#39;s College Cambridge (Classic FM: The Full Works),"The Choir of King&#39;s College, Cambridge",290000,0,2,
0,Anonymous: While Shepherds Watched,Carols from King&#39;s College Cambridge (Classic FM: The Full Works),"The Choir of King&#39;s College, Cambridge",190000,0,2,
